date,fx_price
2006-03-01,44.3676087
2006-04-01,44.839
2006-05-01,45.25217391
2006-06-01,45.91295455
2006-07-01,46.36714286
2006-08-01,46.46108696
2006-09-01,46.00880952
2006-10-01,45.36613636
2006-11-01,44.73431818
2006-12-01,44.47333333
2007-01-01,44.19913043
2007-02-01,44.012
2007-03-01,43.78613636
2007-04-01,41.98214286
2007-05-01,40.57717391
2007-06-01,40.58404762
2007-07-01,40.27727273
2007-08-01,40.65108696
2007-09-01,40.16925
2007-10-01,39.38043478
2007-11-01,39.32136364
2007-12-01,39.39666667
2008-01-01,39.27543478
2008-02-01,39.68857143
2008-03-01,40.23380952
2008-04-01,39.95409091
2008-05-01,42.0275
2008-06-01,42.76380952
2008-07-01,42.76369565
2008-08-01,42.93
2008-09-01,45.49681818
2008-10-01,48.4723913
2008-11-01,48.81225
2008-12-01,48.48195652
2009-01-01,48.68159091
2009-02-01,49.21525
2009-03-01,51.09386364
2009-04-01,49.95681818
2009-05-01,48.43738095
2009-06-01,47.66181818
2009-07-01,48.35021739
2009-08-01,48.22285714
2009-09-01,48.29927273
2009-10-01,46.63495455
2009-11-01,46.5187619
2009-12-01,46.53208696
2010-01-01,45.90238095
2010-02-01,46.278
2010-03-01,45.44634783
2010-04-01,44.46213636
2010-05-01,45.83547619
2010-06-01,46.51409091
2010-07-01,46.80745455
2010-08-01,46.55536364
2010-09-01,45.90918182
2010-10-01,44.35166667
2010-11-01,44.97136364
2010-12-01,45.0683913
2011-01-01,45.38428571
2011-02-01,45.37
2011-03-01,44.90565217
2011-04-01,44.33166667
2011-05-01,44.91672727
2011-06-01,44.84163636
2011-07-01,44.40904762
2011-08-01,45.34934783
2011-09-01,47.65213636
2011-10-01,49.22533333
2011-11-01,50.7225
2011-12-01,52.42295455
2012-01-01,51.10636364
2012-02-01,49.16214286
2012-03-01,50.35363636
2012-04-01,51.68809524
2012-05-01,54.34695652
2012-06-01,55.95214286
2012-07-01,55.36795455
2012-08-01,55.50326087
2012-09-01,54.46375
2012-10-01,53.0676087
2012-11-01,54.81672727
2012-12-01,54.6752381
2013-01-01,54.23826087
2013-02-01,53.847
2013-03-01,54.42880952
2013-04-01,54.31727273
2013-05-01,55.02186957
2013-06-01,58.41565
2013-07-01,59.79973913
2013-08-01,62.84509091
2013-09-01,63.79857143
2013-10-01,61.61604348
2013-11-01,62.55733333
2013-12-01,61.85368182
2014-01-01,62.09565217
2014-02-01,62.19575
2014-03-01,60.96547619
2014-04-01,60.3575
2014-05-01,59.31431818
2014-06-01,59.75142857
2014-07-01,60.05313043
2014-08-01,60.83309524
2014-09-01,60.88454545
2014-10-01,61.34404348
2014-11-01,61.68735
2014-12-01,62.78708696
2015-01-01,62.17859091
2015-02-01,62.00355
2015-03-01,62.48840909
2015-04-01,62.66572727
2015-05-01,63.71133333
2015-06-01,63.776
2015-07-01,63.61117391
2015-08-01,65.11971429
2015-09-01,66.19368182
2015-10-01,65.02613636
2015-11-01,66.12404762
2015-12-01,66.5006087
2016-01-01,67.3197619
2016-02-01,68.22580952
2016-03-01,66.91695652
2016-04-01,66.43804762
2016-05-01,66.934
2016-06-01,67.25659091
2016-07-01,67.15866667
2016-08-01,66.9286087
2016-09-01,66.71659091
2016-10-01,66.73604762
2016-11-01,67.68736364
2016-12-01,67.80277273
2017-01-01,68.06231818
2017-02-01,66.9734
2017-03-01,65.81934783
2017-04-01,64.5483
2017-05-01,64.436
2017-06-01,64.45831818
2017-07-01,64.45
2017-08-01,63.97843478
2017-09-01,64.46080952
2017-10-01,65.0565
2017-11-01,64.85213636
2017-12-01,64.23904762
2018-01-01,63.645
2018-02-01,64.43475
2018-03-01,65.04613636
2018-04-01,65.68571429
2018-05-01,67.52434783
2018-06-01,67.80714286
2018-07-01,68.68304545
2018-08-01,69.63282609
2018-09-01,72.21835
2018-10-01,73.59652174
2018-11-01,71.74022727
2018-12-01,70.76471429
2019-01-01,70.68382609
2019-02-01,71.16655
2019-03-01,69.51004762
2019-04-01,69.40872727
2019-05-01,69.77756522
2019-06-01,69.408
2019-07-01,68.74713043
2019-08-01,71.20140909
2019-09-01,71.35352381
2019-10-01,71.02073913
2019-11-01,71.50538095
2019-12-01,71.1655
2020-01-01,71.26786957
2020-02-01,71.53615
2020-03-01,74.56495455
2020-04-01,76.17840909
2020-05-01,75.67495238
2020-06-01,75.72313636
2020-07-01,74.92882609
2020-08-01,74.5697619
2020-09-01,73.51827273
2020-10-01,73.5585
2020-11-01,74.21752381
2020-12-01,73.63030435
2021-01-01,73.11309524
2021-02-01,72.79455
2021-03-01,72.81221739
2021-04-01,74.52427273
2021-05-01,73.18366667
2021-06-01,73.58736364
2021-07-01,74.52268182
2021-08-01,74.12295455
2021-09-01,73.61854545
2021-10-01,74.95442857
2021-11-01,74.48886364
2021-12-01,75.35752174
2022-01-01,74.42571429
2022-02-01,74.9602
2022-03-01,76.21921739
2022-04-01,76.20928571
2022-05-01,77.31918182
2022-06-01,78.08777273
2022-07-01,79.556
2022-08-01,79.51426087
2022-09-01,80.23622727
2022-10-01,82.29219048
2022-11-01,81.60154545
2022-12-01,82.47209091
2023-01-01,81.74790909
2023-02-01,82.6047
2023-03-01,82.24921739
2023-04-01,81.9415
2023-05-01,82.29526087
2023-06-01,82.15613636
2023-07-01,82.14452381
2023-08-01,82.80956522
2023-09-01,83.04019048
2023-10-01,83.1945
2023-11-01,83.25313636
2023-12-01,83.24961905
2024-01-01,83.11152174
2024-02-01,82.96033333
2024-03-01,83.02571429
2024-04-01,83.3955
2024-05-01,83.3516087
2024-06-01,83.46275
2024-07-01,83.58756522
2024-08-01,83.88627273
2024-09-01,83.7862381
2024-10-01,84.02417391
2024-11-01,84.3542381
2024-12-01,84.97295455
2025-01-01,86.24865217
2025-02-01,87.02195
2025-03-01,86.48438095
2025-04-01,85.55995455
2025-05-01,85.20386364
2025-06-01,85.92166667
2025-07-01,86.16682609
2025-08-01,87.52514286
2025-09-01,88.28240909
2025-10-01,88.38047826
2025-11-01,88.84205
2025-12-01,90.04322222
