date,price_dxy
01-04-2006,88.40947368
01-05-2006,84.85727273
01-06-2006,85.76590909
01-07-2006,85.893
01-08-2006,85.04521739
01-09-2006,85.6045
01-10-2006,86.34272727
01-11-2006,84.84454545
01-12-2006,83.3555
01-01-2007,84.78047619
01-02-2007,84.40631579
01-03-2007,83.48409091
01-04-2007,82.19
01-05-2007,82.10954545
01-06-2007,82.46714286
01-07-2007,80.77952381
01-08-2007,80.93478261
01-09-2007,79.30210526
01-10-2007,77.84782609
01-11-2007,75.66809524
01-12-2007,76.764
01-01-2008,75.94863636
01-02-2008,75.69809524
01-03-2008,72.4535
01-04-2008,72.11636364
01-05-2008,72.86681818
01-06-2008,73.17952381
01-07-2008,72.54565217
01-08-2008,76.06047619
01-09-2008,78.26333333
01-10-2008,83.11086957
01-11-2008,86.3915
01-12-2008,82.97347826
01-01-2009,83.96409091
01-02-2009,86.54
01-03-2009,86.41136364
01-04-2009,85.25545455
01-05-2009,82.0347619
01-06-2009,80.11590909
01-07-2009,79.52652174
01-08-2009,78.44809524
01-09-2009,77.05318182
01-10-2009,76.01045455
01-11-2009,75.30809524
01-12-2009,76.8273913
01-01-2010,77.801
01-02-2010,80.1645
01-03-2010,80.67086957
01-04-2010,81.23545455
01-05-2010,85.41904762
01-06-2010,86.57545455
01-07-2010,83.14045455
01-08-2010,82.14954545
01-09-2010,81.08045455
01-10-2010,77.46047619
01-11-2010,78.44272727
01-12-2010,80.06869565
01-01-2011,79.1547619
01-02-2011,77.778
01-03-2011,76.28869565
01-04-2011,74.69
01-05-2011,74.94272727
01-06-2011,74.69409091
01-07-2011,74.73428571
01-08-2011,74.23826087
01-09-2011,76.91545455
01-10-2011,77.15571429
01-11-2011,77.95727273
01-12-2011,79.62909091
01-01-2012,80.33363636
01-02-2012,78.95285714
01-03-2012,79.55909091
01-04-2012,79.43
01-05-2012,80.98782609
01-06-2012,82.24619048
01-07-2012,83.02272727
01-08-2012,82.15956522
01-09-2012,79.8755
01-10-2012,79.73782609
01-11-2012,80.69590909
01-12-2012,79.74857143
01-01-2013,79.87130435
01-02-2013,80.6025
01-03-2013,82.64142857
01-04-2013,82.52409091
01-05-2013,83.21478261
01-06-2013,81.8745
01-07-2013,82.81521739
01-08-2013,81.48318182
01-09-2013,81.20571429
01-10-2013,79.87086957
01-11-2013,80.8452381
01-12-2013,80.32318182
01-01-2014,80.79608696
01-02-2014,80.438
