date,yield_real_us
01-12-2023,1.8355
01-01-2024,1.791904762
01-02-2024,1.925
01-03-2024,1.897
01-04-2024,2.145
01-05-2024,2.148181818
01-06-2024,2.05
01-07-2024,1.974090909
01-08-2024,1.760909091
01-09-2024,1.616
01-10-2024,1.809545455
01-11-2024,2.034736842
01-12-2024,2.088095238
01-01-2025,2.228571429
01-02-2025,2.026842105
01-03-2025,1.946190476
01-04-2025,2.038095238
01-05-2025,2.11047619
01-06-2025,2.0865
01-07-2025,2.008181818
01-08-2025,1.882857143
01-09-2025,1.749047619
01-10-2025,1.756818182
01-11-2025,1.827777778
01-12-2025,1.893125
