date,fx_rate,dxy,us10y_nominal,us10y_real,fx_reserves
01-04-1985,12.40045455,149.6109091,11.4347619,#N/A,6374354769.00
01-05-1985,12.50045455,149.955,10.84681818,#N/A,6271733492.00
01-06-1985,12.4405,147.713,10.156,#N/A,6198352314.00
01-07-1985,12.03136364,141.0063636,10.30681818,#N/A,6063375381.00
01-08-1985,11.89772727,137.5586364,10.33181818,#N/A,6005903421.00
01-09-1985,12.1255,139.2205,10.37315789,#N/A,6367162713.00
01-10-1985,12.03318182,130.7163636,10.23681818,#N/A,6502758214.00
01-11-1985,12.10105263,127.9747619,9.781578947,#N/A,6575708601.00
01-12-1985,12.15238095,125.6440909,9.259047619,#N/A,6420353251.00
01-01-1986,12.24333333,123.5752174,9.193809524,#N/A,5937279432.00
01-02-1986,12.37,118.671,8.704210526,#N/A,5857059734.00
01-03-1986,12.28904762,115.907619,7.7785,#N/A,6657485982.00
01-04-1986,12.39318182,115.5109091,7.299090909,#N/A,6956432823.00
01-05-1986,12.46571429,113.3031818,7.70952381,#N/A,6642267564.00
01-06-1986,12.59857143,113.6166667,7.79952381,#N/A,6427989602.00
01-07-1986,12.50772727,110.2565217,7.303181818,#N/A,5976875401.00
01-08-1986,12.56666667,107.3666667,7.165714286,#N/A,5961147361.00
01-09-1986,12.67571429,107.0036364,7.447619048,#N/A,6119797117.00
01-10-1986,12.84863636,106.4452174,7.426363636,#N/A,5869760991.00
01-11-1986,13.07611111,107.737,7.250555556,#N/A,5936165085.00
01-12-1986,13.14863636,106.41,7.112727273,#N/A,6395732658.00
01-01-1987,13.0295,101.0363636,7.0845,#N/A,6254917353.00
01-02-1987,13.06210526,99.358,7.250526316,#N/A,6128129150.00
01-03-1987,12.92363636,98.85,7.248636364,#N/A,6729561627.00
